iter	Passed	Remaining
0	142	141987
1	146	72972
2	150	50056
3	154	38568
4	159	31695
5	164	27183
6	168	23876
7	172	21427
8	177	19515
9	180	17823
10	182	16438
11	184	15228
12	187	14197
13	189	13314
14	190	12534
15	192	11840
16	194	11227
17	195	10683
18	197	10178
19	198	9721
20	199	9313
21	201	8940
22	202	8590
23	203	8269
24	204	7968
25	205	7702
26	206	7451
27	207	7217
28	208	6992
29	209	6783
30	210	6591
31	211	6409
32	212	6235
33	213	6073
34	214	5917
35	215	5769
36	216	5628
37	217	5496
38	218	5372
39	218	5251
40	219	5137
41	220	5031
42	221	4932
43	222	4834
44	223	4737
45	224	4646
46	224	4559
47	225	4476
48	226	4397
49	227	4320
50	228	4247
51	229	4175
52	229	4107
53	230	4041
54	231	3978
55	232	3917
56	233	3858
57	233	3800
58	234	3747
59	235	3695
60	236	3645
61	237	3595
62	238	3548
63	239	3502
64	240	3457
65	241	3413
66	242	3370
67	242	3324
68	243	3284
69	244	3245
70	245	3209
71	246	3172
72	246	3135
73	247	3100
74	248	3066
75	249	3032
76	250	3000
77	251	2968
78	251	2937
79	252	2907
80	253	2877
81	254	2847
82	255	2819
83	256	2792
84	256	2763
85	257	2736
86	258	2708
87	259	2684
88	259	2660
89	260	2636
90	261	2613
91	262	2590
92	263	2568
93	264	2546
94	265	2524
95	265	2504
96	266	2483
97	267	2463
98	268	2443
99	269	2425
100	270	2405
101	270	2383
102	271	2365
103	272	2347
104	273	2329
105	274	2311
106	274	2294
107	275	2277
108	276	2261
109	277	2246
110	278	2229
111	279	2213
112	280	2198
113	280	2183
114	281	2168
115	282	2152
116	283	2138
117	284	2123
118	284	2108
119	285	2094
120	286	2081
121	287	2068
122	287	2052
123	288	2039
124	289	2027
125	290	2014
126	291	2001
127	291	1987
128	292	1975
129	293	1963
130	294	1952
131	295	1941
132	296	1929
133	296	1918
134	297	1907
135	298	1897
136	299	1886
137	300	1875
138	301	1864
139	301	1854
140	302	1844
141	303	1834
142	304	1825
143	305	1815
144	306	1806
145	307	1796
146	307	1787
147	308	1777
148	309	1768
149	310	1758
150	311	1749
151	312	1741
152	312	1732
153	313	1723
154	314	1715
155	315	1706
156	316	1698
157	317	1689
158	317	1681
159	318	1673
160	319	1665
161	320	1657
162	321	1649
163	322	1642
164	322	1634
165	323	1627
166	324	1619
167	325	1612
168	326	1605
169	327	1597
170	328	1590
171	328	1583
172	329	1576
173	330	1569
174	331	1562
175	332	1555
176	333	1549
177	334	1542
178	334	1536
179	335	1529
180	336	1521
181	337	1514
182	337	1508
183	338	1501
184	339	1495
185	340	1489
186	341	1483
187	341	1477
188	342	1471
189	343	1465
190	344	1459
191	345	1453
192	346	1447
193	346	1441
194	347	1435
195	348	1430
196	349	1425
197	350	1419
198	351	1413
199	352	1408
200	353	1403
201	353	1398
202	354	1392
203	355	1387
204	356	1382
205	357	1377
206	358	1372
207	359	1367
208	359	1362
209	360	1357
210	361	1352
211	362	1347
212	363	1342
213	364	1337
214	365	1333
215	365	1328
216	366	1323
217	367	1318
218	368	1313
219	369	1309
220	370	1304
221	370	1299
222	371	1294
223	372	1290
224	373	1285
225	374	1281
226	375	1277
227	375	1272
228	376	1268
229	377	1263
230	378	1259
231	379	1255
232	380	1251
233	380	1246
234	381	1242
235	382	1238
236	383	1234
237	384	1230
238	385	1226
239	385	1222
240	386	1217
